timeframe,sym1,sym2,n_obs,corr,alpha,beta,adf_stat,adf_p,phi,half_life_bars,adf_cv_5pct
D1,DE40,XAGEUR,36,-0.8410115388389435,11.074079321396384,-0.28085239331361844,-5.275933104050402,6.140488324486284e-06,0.2713374674519707,0.531394855930848,-2.9512301791166293
D1,DE40,XAGUSD,36,-0.8232330189925532,10.98915822412991,-0.24586817690618853,-3.724502017849684,0.003781417722256562,0.32731366075038654,0.6206345038419495,-2.9719894897959187
D1,DE40,XAUAUD,36,-0.8715881506900992,13.165821947101293,-0.35934727510386616,-4.384516314675666,0.0003161321369732711,0.3113707185197911,0.5940729992870555,-2.9485102040816327
D1,DE40,XAUCHF,36,-0.8811804997202016,12.759393070904673,-0.33733334160043776,-4.662332066134517,9.89874348148242e-05,0.2575007615438803,0.5108944679511492,-2.9485102040816327
D1,DE40,XAUEUR,36,-0.8883920968237419,12.710873187303196,-0.32847037182439254,-5.058725915109153,1.696068169494505e-05,0.1973987709875344,0.42720162109686627,-2.9485102040816327
D1,DE40,XAUGBP,36,-0.9004330628993773,12.648765113607098,-0.3265673153401615,-5.304160011190436,5.368046988523505e-06,0.16008861227697252,0.3783497085695784,-2.9485102040816327
D1,DE40,XAUJPY,36,-0.8812530862599921,14.003140474328639,-0.298085918322334,-4.979643992865659,2.4346631273998275e-05,0.21453507209790343,0.450305505477392,-2.9485102040816327
D1,DE40,XBRUSD,36,0.09524820167627879,9.865528365382119,0.05226279099224408,-2.0835236668169568,0.25119121884142837,0.7955779291543353,3.0309933503698603,-2.9485102040816327
D1,DE40,XNGUSD,36,-0.3528280563436475,10.20090385784652,-0.10646336227225799,-1.3940352475055666,0.5851323316079615,0.7388392344190108,2.290071360240812,-2.954126991123355
D1,DE40,XPTUSD,36,-0.4158786289237302,11.725921146962916,-0.22717622953921268,-3.093530973870114,0.02703564417724784,0.6753683328541839,1.7659933120769309,-2.9485102040816327
D1,DE40,XTIUSD,36,0.2875832360202283,9.565580600681109,0.12486960798747626,-2.1445839986394772,0.226968950308989,0.7767568331652996,2.7437471803485365,-2.9485102040816327
D1,DXY_Z5,ES35,36,-0.3014374286256458,5.347686451432202,-0.07957340941411489,-2.829079844395674,0.054238479264549395,0.661276445913737,1.67595542635732,-2.9485102040816327
D1,DXY_Z5,EURAUD,36,0.2983463275747577,4.406624572105586,0.3044505779202862,-2.7686784729065934,0.06288898252208287,0.6286451125330415,1.4932454036344753,-2.9485102040816327
D1,DXY_Z5,EURCAD,36,-0.7484652358759273,4.907733863398948,-0.6820603486957668,-3.586490145226671,0.006024622203042068,0.6385727010924376,1.545410618286814,-2.9485102040816327
D1,DXY_Z5,EURCHF,36,0.16245304356861526,4.601156166471099,0.2748778127910934,-2.300153902114401,0.17191833982517252,0.694897773198713,1.9043000227089413,-2.954126991123355
D1,DXY_Z5,EURGBP,36,-0.3184744361882,4.493576883225706,-0.621983981857962,-2.1568416663387806,0.22228046164106152,0.7699497109835118,2.6513673918744467,-2.9485102040816327
D1,DXY_Z5,EURJPY,36,-0.7916761353110916,10.19969195517217,-1.090685171766457,-3.3687877049551562,0.01207004585164051,0.29517120220397536,0.5680604209848598,-2.98648896
D1,DXY_Z5,EURNZD,36,-0.24537592679813286,4.704015945818507,-0.178362851834205,-2.6047579289490694,0.0920178822469857,0.6996794350867538,1.9408656804934938,-2.9485102040816327
D1,DXY_Z5,EURSGD,36,-0.9042769571525451,5.12761839378447,-1.3459849035326301,-3.1682030328045294,0.02190057749723316,0.59536086531828,1.3366058747978147,-2.9485102040816327
D1,DXY_Z5,EURUSD,36,-0.9790847164858288,4.72403641060125,-0.9089528439761488,-3.268430271309772,0.016349984190423963,0.7105148051144725,2.028136814868445,-2.960525341210433
D1,DXY_Z5,F40,36,-0.14432687022171928,5.270151609806605,-0.07667208052540454,-2.3485177407657245,0.15679691460457024,0.7119278839058801,2.0399962195621435,-2.9485102040816327
D1,DXY_Z5,GBPAUD,36,0.4156049077230282,4.311532070274928,0.3755343983241468,-2.5865576864491984,0.09580746898950748,0.6761944714913697,1.7715109626052696,-2.9485102040816327
D1,DXY_Z5,GBPCAD,36,-0.5586542654335477,4.878768713848472,-0.47730429007541514,-3.1087662189576646,0.025911214187833292,0.6188266943305074,1.444267181223206,-2.9485102040816327
D1,DXY_Z5,GBPCHF,36,0.30297442591871887,4.5558202335855436,0.3512574034389214,-2.2714433093928217,0.18134351468645848,0.7370636655329311,2.2720102771269866,-2.9485102040816327
D1,DXY_Z5,GBPJPY,36,-0.5671477475155084,8.763863522368922,-0.7898486576811661,-3.906803299088564,0.0019853451702717827,0.4133024309925162,0.7844796996134334,-2.9485102040816327
D1,DXY_Z5,GBPNZD,36,-0.11776919196435626,4.649582064727635,-0.08100970540746973,-2.2450034888443984,0.19031890539594248,0.7007499857514198,1.9492102663879802,-2.954126991123355
D1,DXY_Z5,GBPUSD,36,-0.8806791822234135,4.844227549481162,-0.8744584442665675,-2.544205021984112,0.10508577935448365,0.660893180451587,1.6736093960147589,-2.9485102040816327
D1,DXY_Z5,GCZ25,36,-0.6388699355872228,5.526393714712176,-0.11558995498028167,-3.2717562873271455,0.016189150045020532,0.5833594914032297,1.2861026931772808,-2.9485102040816327
D1,DXY_Z5,HK50,36,-0.7683055483508664,6.9732322885273135,-0.2355781846058077,-4.388113905135015,0.0003115447090979296,0.43360679070199,0.8295032788912658,-2.9512301791166293
D1,DXY_Z5,IT40,36,-0.15297771266597254,5.208513553840777,-0.05875823475936043,-2.3032478772292415,0.17092260611803267,0.6921394057316398,1.8837164841336391,-2.954126991123355
D1,DXY_Z5,JP225,36,-0.6682072102706833,6.060348818504273,-0.13854444418416,-4.0175852887015,0.0013211776920710678,0.45847204741554626,0.8888143722194272,-2.9485102040816327
D1,DXY_Z5,MidDE50,36,0.19538618601381774,3.821774376596098,0.0736833392847809,-2.6346485412905523,0.08604545181843265,0.6759485744362419,1.769865759957579,-2.9485102040816327
D1,DXY_Z5,NOKJPY,36,-0.6060511124918663,5.365553674750863,-0.2917943292932452,-3.8892950291390167,0.002115057628106288,0.4522149644546354,0.8734239580181244,-2.9485102040816327
D1,DXY_Z5,NOKSEK,36,-0.05824668979241506,4.577940985477741,-0.08090893896325953,-2.2051572107699284,0.20437901442374135,0.6982260209803922,1.9296303496881928,-2.954126991123355
